Month,Day,Year,SurveyDay,Trapline,Row,TrapNum,Species,Mass,Sex,RepCon,TagNum
5,19,2017,2,8,A,6,CLEAR,.,.,.,.
5,19,2017,2,8,B,1,CLEAR,.,.,.,.
5,19,2017,2,8,B,2,CLEAR,.,.,.,.
5,19,2017,2,8,B,3,R/ST,.,.,.,.
5,19,2017,2,8,B,4,CLEAR,.,.,.,.
5,19,2017,2,8,B,5,CLEAR,.,.,.,.
5,19,2017,2,8,B,6,CLEAR,.,.,.,.
5,19,2017,2,8,C,1,CLEAR,.,.,.,.
5,19,2017,2,8,C,2,CLEAR,.,.,.,.
5,19,2017,2,8,C,3,CLEAR,.,.,.,.
5,19,2017,2,8,C,4,CLEAR,.,.,.,.
5,19,2017,2,8,C,5,CLEAR,.,.,.,.
5,19,2017,2,8,C,6,CLEAR,.,.,.,.
5,20,2017,3,8,A,1,STS,26.6,F,ADULT,PINK
5,20,2017,3,8,A,2,IN STREAM,BM,.,.,.
5,20,2017,3,8,A,3,CLEAR,.,.,.,.
5,20,2017,3,8,A,4,CLEAR,.,.,.,.
5,20,2017,3,8,A,5,CLEAR,.,.,.,.
5,20,2017,3,8,A,6,CLEAR,.,.,.,.
5,20,2017,3,8,B,1,CLEAR,.,.,.,.
5,20,2017,3,8,B,2,CLEAR,.,.,.,.
5,20,2017,3,8,B,3,R,.,.,.,.
5,20,2017,3,8,B,4,CLEAR,.,.,.,.
5,20,2017,3,8,B,5,CLEAR,.,.,.,.
5,20,2017,3,8,B,6,CLEAR,.,.,.,.
5,20,2017,3,8,C,1,CLEAR,.,.,.,.
5,20,2017,3,8,C,2,CLEAR,.,.,.,.
5,20,2017,3,8,C,3,CLEAR,.,.,.,.
5,20,2017,3,8,C,4,CLEAR,.,.,.,.
5,20,2017,3,8,C,5,CLEAR,.,.,.,.
5,20,2017,3,8,C,6,CLEAR,.,.,.,.
5,18,2017,1,9,A,1,CLEAR,.,.,.,.
5,18,2017,1,9,A,2,CLEAR,.,.,.,.
5,18,2017,1,9,A,3,CLEAR,.,.,.,.
5,18,2017,1,9,A,4,CLEAR,.,.,.,.
5,18,2017,1,9,A,5,CLEAR,.,.,.,.
5,18,2017,1,9,A,6,CLEAR,.,.,.,.
5,18,2017,1,9,B,1,CLEAR,.,.,.,.
5,18,2017,1,9,B,2,CLEAR,.,.,.,.
5,18,2017,1,9,B,3,CLEAR,.,.,.,.
5,18,2017,1,9,B,4,CLEAR,.,.,.,.
5,18,2017,1,9,B,5,CLEAR,.,.,.,.
5,18,2017,1,9,B,6,CLEAR,.,.,.,.
5,18,2017,1,9,C,1,CLEAR,.,.,.,.
5,18,2017,1,9,C,2,CLEAR,.,.,.,.
5,18,2017,1,9,C,3,CLEAR,.,.,.,.
5,18,2017,1,9,C,4,CLEAR,.,.,.,.
5,18,2017,1,9,C,5,CLEAR,.,.,.,.
5,18,2017,1,9,C,6,CLEAR,.,.,.,.
5,19,2017,2,9,A,1,STS,27.04,M,ADULT,DEAD
5,19,2017,2,9,A,2,CLEAR,.,.,.,.
5,19,2017,2,9,A,3,CLEAR,.,.,.,.
5,19,2017,2,9,A,4,ST,.,.,.,.
5,19,2017,2,9,A,5,CLEAR,.,.,.,.
5,19,2017,2,9,A,6,CLEAR,.,.,.,.
5,19,2017,2,9,B,1,CLEAR,.,.,.,.
5,19,2017,2,9,B,2,CLEAR,.,.,.,.
5,19,2017,2,9,B,3,CLEAR,.,.,.,.
5,19,2017,2,9,B,4,CLEAR,.,.,.,.
5,19,2017,2,9,B,5,CLEAR,.,.,.,.
5,19,2017,2,9,B,6,CLEAR,.,.,.,.
5,19,2017,2,9,C,1,ST,.,.,.,.
5,19,2017,2,9,C,2,CLEAR,.,.,.,.
5,19,2017,2,9,C,3,CLEAR,.,.,.,.
5,19,2017,2,9,C,4,CLEAR,.,.,.,.
5,19,2017,2,9,C,5,CLEAR,.,.,.,.
5,19,2017,2,9,C,6,CLEAR,.,.,.,.
5,20,2017,3,9,A,1,CLEAR,.,.,.,.
5,20,2017,3,9,A,2,CLEAR,.,.,.,.
5,20,2017,3,9,A,3,CLEAR,.,.,.,.
5,20,2017,3,9,A,4,ST,.,.,.,.
